filename,eye_count,lips_count,face_count,eye_label,lips_label,face_label
vHX717.png,2,3,2,simple,simple,simple
vRX729.png,5,4,3,complex,complex,simple
vFG700.png,5,3,4,complex,simple,complex
XMY-038.png,4,4,3,complex,complex,simple
vRX546.png,1,3,1,simple,simple,simple
vFG503.png,4,3,4,complex,simple,complex
vFG549.png,4,3,3,complex,simple,simple
60d2f4fe0275d790-60de8deab87e73ea-46ab964a17ecf7b8ef7a3ee1e1869d56.png,4,3,4,complex,simple,complex
vRX187.png,4,3,4,complex,simple,complex
vHX185.png,3,3,3,simple,simple,simple
vHX53.png,3,2,2,simple,simple,simple
vFG132.png,5,4,3,complex,complex,simple
vFG440.png,4,4,4,complex,complex,complex
vHX727.png,3,3,1,simple,simple,simple
vHX76.png,2,4,4,simple,complex,complex
vFG836.png,2,3,3,simple,simple,simple
vFG595.png,4,3,3,complex,simple,simple
vRX375.png,3,3,3,simple,simple,simple
vFG409.png,5,3,3,complex,simple,simple
vHX373.png,6,3,3,complex,simple,simple
vHX751.png,5,3,4,complex,simple,complex
vRX768.png,1,2,3,simple,simple,simple
vRX32.png,2,4,2,simple,complex,simple
vRX289.png,5,3,3,complex,simple,simple
vFG436.png,2,4,3,simple,complex,simple
vRX155.png,5,4,2,complex,complex,simple
vRX451.png,3,3,2,simple,simple,simple
vRX580.png,4,4,2,complex,complex,simple
vHX752.png,4,3,3,complex,simple,simple
vHX421.png,3,4,3,simple,complex,simple
vHX123.png,2,4,3,simple,complex,simple
af0133cb94d36f4ab6fd45bb08a12d63.png,4,3,4,complex,simple,complex
XYH-176.png,4,4,2,complex,complex,simple
vHX405.png,3,4,3,simple,complex,simple
vHX594.png,3,3,2,simple,simple,simple
vHX91.png,3,3,2,simple,simple,simple
vHX586.png,3,3,2,simple,simple,simple
vFG789.png,4,3,4,complex,simple,complex
vFG662.png,5,4,3,complex,complex,simple
vRX832.png,4,2,1,complex,simple,simple
vHX426.png,4,3,2,complex,simple,simple
vRX667.png,4,3,2,complex,simple,simple
vFG722.png,4,3,5,complex,simple,complex
vRX242.png,4,4,5,complex,complex,complex
vHX736.png,4,3,1,complex,simple,simple
vFG185.png,4,3,4,complex,simple,complex
vRX74.png,3,3,3,simple,simple,simple
vFG289.png,5,3,3,complex,simple,simple
f847b44eb6262c0b07d4c80cd774b616.png,4,3,5,complex,simple,complex
vFG843.png,3,2,3,simple,simple,simple
vFG255.png,6,4,4,complex,complex,complex
