filename,eye_count,lips_count,face_count
vHX717.png,2,3,2
vRX729.png,5,4,3
vFG700.png,5,3,4
XMY-038.png,4,4,3
vRX546.png,1,3,1
vFG503.png,4,3,4
vFG549.png,4,3,3
60d2f4fe0275d790-60de8deab87e73ea-46ab964a17ecf7b8ef7a3ee1e1869d56.png,4,3,4
vRX187.png,4,3,4
vHX185.png,3,3,3
vHX53.png,3,2,2
vFG132.png,5,4,3
vFG440.png,4,4,4
vHX727.png,3,3,1
vHX76.png,2,4,4
vFG836.png,2,3,3
vFG595.png,4,3,3
vRX375.png,3,3,3
vFG409.png,5,3,3
vHX373.png,6,3,3
vHX751.png,5,3,4
vRX768.png,1,2,3
vRX32.png,2,4,2
vRX289.png,5,3,3
vFG436.png,2,4,3
vRX155.png,5,4,2
vRX451.png,3,3,2
vRX580.png,4,4,2
vHX752.png,4,3,3
vHX421.png,3,4,3
vHX123.png,2,4,3
af0133cb94d36f4ab6fd45bb08a12d63.png,4,3,4
XYH-176.png,4,4,2
vHX405.png,3,4,3
vHX594.png,3,3,2
vHX91.png,3,3,2
vHX586.png,3,3,2
vFG789.png,4,3,4
vFG662.png,5,4,3
vRX832.png,4,2,1
vHX426.png,4,3,2
vRX667.png,4,3,2
vFG722.png,4,3,5
vRX242.png,4,4,5
vHX736.png,4,3,1
vFG185.png,4,3,4
vRX74.png,3,3,3
vFG289.png,5,3,3
f847b44eb6262c0b07d4c80cd774b616.png,4,3,5
vFG843.png,3,2,3
vFG255.png,6,4,4
vFG428.png,5,3,4
vFG432.png,4,2,3
vRX611.png,2,2,2
f6b9b1ae308d89d6286ca67a63ee7d53.png,3,3,4
vRX743.png,5,3,3
vFG552.png,5,3,4
vFG396.png,5,3,4
vHX419.png,5,3,4
vRX720.png,4,3,3
b611749cd41b1f3f1d453e13192e6eac.png,5,3,5
ac75323d6b6de243-7728d900ea0dce1d-ab6d68c3b56b105ad43d2b62643f5b50.png,4,4,3
vHX563.png,1,2,1
vHX707.png,1,3,2
vRX728.png,2,3,2
vRX589.png,3,4,3
vRX719.png,5,3,4
XMY-136.png,4,3,4
vRX241.png,4,4,5
vHX347.png,4,4,5
vRX656.png,4,2,4
vFG442.png,4,3,4
vFG621.png,4,3,4
vRX429.png,4,2,3
vHX666.png,3,3,2
vRX542.png,3,2,3
vFG805.png,5,2,3
vRX419.png,4,3,3
vHX192.png,3,3,2
vFG261.png,3,3,4
vHX641.png,4,3,2
vRX568.png,5,3,3
vHX558.png,3,2,2
XMY-425.png,5,3,4
vRX426.png,2,2,2
vFG411.png,4,1,2
vHX72.png,3,3,3
cf1b9d16fdfaaf5141126053865494eef11f7a6d.png,5,3,1
vHX725.png,3,3,3
caacbe9d52ffce79cb2d37469975583f.png,4,2,5
vFG276.png,3,2,2
vFG834.png,2,3,3
vRX317.png,4,4,1
vRX311.png,4,2,2
XMY-430.png,3,3,5
vHX254.png,4,4,3
XMY-078.png,4,2,4
vRX785.png,3,3,3
XMY-014.png,6,3,5
vFG277.png,2,4,4
vRX336.png,3,5,5
tyr4y.png,4,3,5
vHX239.png,2,3,2
vHX505.png,4,3,4
vRX649.png,4,4,5
vFG408.png,5,3,3
vFG587.png,4,3,5
vFG569.png,4,3,4
vRX803.png,4,3,2
vHX3.png,3,2,2
vHX765.png,3,3,2
vFG620.png,3,2,1
vHX598.png,5,3,3
vRX480.png,3,3,3
vHX333.png,3,3,2
vFG129.png,4,4,3
vRX436.png,5,3,5
vFG514.png,5,2,5
vFG653.png,4,3,2
vHX541.png,5,3,3
vHX756.png,3,3,1
YH-62.png,4,3,1
vRX293.png,4,2,2
u8yuyu.png,5,3,4
vFG303.png,5,4,4
acffb649e01f6a3c3da153b09e6ecb5e.png,4,2,2
vRX761.png,4,2,4
vRX190.png,4,3,2
vHX523.png,5,3,2
vRX801.png,3,3,3
vFG218.png,3,3,4
vRX355.png,4,4,2
vRX760.png,3,3,1
vRX70.png,3,2,4
vHX208.png,4,1,1
vFG197.png,4,3,3
vHX749.png,2,3,1
vFG43.png,3,3,4
vHX243.png,2,3,3
vHX474.png,3,3,3
vHX206.png,6,2,5
vHX160.png,3,3,2
vHX37.png,4,2,1
vHX572.png,4,3,4
vFG602.png,5,3,3
vRX693.png,4,2,3
vRX741.png,4,3,3
vFG273.png,6,4,4
vFG786.png,4,4,3
vHX693.png,5,3,2
YUEHUI-386.png,3,3,4
vFG221.png,5,2,4
vRX670.png,3,2,3
vHX499.png,5,3,2
vFG63.png,4,3,4
vRX279.png,4,3,1
vRX794.png,3,3,4
vRX191.png,3,3,4
vFG667.png,3,3,3
vRX172.png,3,2,2
